period,debt,debt_change,stocks,stocks_change,color,color_change,restaurant,restaurant_change,portfolio,portfolio_change,inflation,inflation_change,housing,housing_change,dow jones,dow jones_change,revenue,revenue_change,economics,economics_change
2012-11-01,74,0.013513513513513514,20,0.05,57,0.0,60,0.016666666666666666,74,0.04054054054054054,29,-0.034482758620689655,76,-0.09210526315789473,4,0.25,58,-0.13793103448275862,76,-0.05263157894736842
2012-12-01,56,-0.32142857142857145,19,-0.05263157894736842,53,-0.07547169811320754,64,0.0625,64,-0.15625,25,-0.16,67,-0.13432835820895522,2,-1.0,51,-0.13725490196078433,62,-0.22580645161290322
2013-01-01,73,0.2328767123287671,23,0.17391304347826086,57,0.07017543859649122,61,-0.04918032786885246,77,0.16883116883116883,30,0.16666666666666666,93,0.27956989247311825,3,0.3333333333333333,71,0.28169014084507044,74,0.16216216216216217
2013-02-01,65,-0.12307692307692308,23,0.0,57,0.0,64,0.046875,82,0.06097560975609756,31,0.03225806451612903,91,-0.02197802197802198,3,0.0,87,0.1839080459770115,74,0.0
2013-03-01,62,-0.04838709677419355,22,-0.045454545454545456,63,0.09523809523809523,60,-0.06666666666666667,74,-0.10810810810810811,30,-0.03333333333333333,90,-0.011111111111111112,3,0.0,80,-0.0875,72,-0.027777777777777776
2013-04-01,61,-0.01639344262295082,22,0.0,64,0.015625,60,0.0,77,0.03896103896103896,32,0.0625,98,0.08163265306122448,3,0.0,90,0.1111111111111111,74,0.02702702702702703
2013-05-01,56,-0.08928571428571429,20,-0.1,62,-0.03225806451612903,62,0.03225806451612903,73,-0.0547945205479452,29,-0.10344827586206896,86,-0.13953488372093023,3,0.0,64,-0.40625,71,-0.04225352112676056
2013-06-01,49,-0.14285714285714285,18,-0.1111111111111111,59,-0.05084745762711865,60,-0.03333333333333333,66,-0.10606060606060606,24,-0.20833333333333334,87,0.011494252873563218,3,0.0,56,-0.14285714285714285,63,-0.12698412698412698
2013-07-01,54,0.09259259259259259,18,0.0,61,0.03278688524590164,62,0.03225806451612903,66,0.0,23,-0.043478260869565216,93,0.06451612903225806,3,0.0,59,0.05084745762711865,55,-0.14545454545454545
2013-08-01,54,0.0,19,0.05263157894736842,61,0.0,68,0.08823529411764706,63,-0.047619047619047616,22,-0.045454545454545456,93,0.0,3,0.0,53,-0.11320754716981132,61,0.09836065573770492
2013-09-01,59,0.0847457627118644,23,0.17391304347826086,62,0.016129032258064516,64,-0.0625,68,0.07352941176470588,27,0.18518518518518517,82,-0.13414634146341464,3,0.0,57,0.07017543859649122,77,0.2077922077922078
2013-10-01,100,0.41,24,0.041666666666666664,67,0.07462686567164178,61,-0.04918032786885246,78,0.1282051282051282,29,0.06896551724137931,82,0.0,4,0.25,62,0.08064516129032258,78,0.01282051282051282
2013-11-01,55,-0.8181818181818182,22,-0.09090909090909091,59,-0.13559322033898305,61,0.0,73,-0.0684931506849315,30,0.03333333333333333,75,-0.09333333333333334,3,-0.3333333333333333,56,-0.10714285714285714,70,-0.11428571428571428
2013-12-01,50,-0.1,22,0.0,60,0.016666666666666666,64,0.046875,61,-0.19672131147540983,29,-0.034482758620689655,70,-0.07142857142857142,3,0.0,52,-0.07692307692307693,63,-0.1111111111111111
2014-01-01,58,0.13793103448275862,27,0.18518518518518517,61,0.01639344262295082,60,-0.06666666666666667,72,0.1527777777777778,29,0.0,88,0.20454545454545456,3,0.0,66,0.21212121212121213,71,0.11267605633802817
2014-02-01,62,0.06451612903225806,26,-0.038461538461538464,66,0.07575757575757576,69,0.13043478260869565,76,0.05263157894736842,29,0.0,88,0.0,4,0.25,86,0.23255813953488372,77,0.07792207792207792
2014-03-01,57,-0.08771929824561403,25,-0.04,66,0.0,58,-0.1896551724137931,73,-0.0410958904109589,32,0.09375,85,-0.03529411764705882,3,-0.3333333333333333,79,-0.08860759493670886,72,-0.06944444444444445
2014-04-01,57,0.0,23,-0.08695652173913043,69,0.043478260869565216,63,0.07936507936507936,75,0.02666666666666667,32,0.0,94,0.09574468085106383,3,0.0,81,0.024691358024691357,76,0.05263157894736842
2014-05-01,56,-0.017857142857142856,21,-0.09523809523809523,64,-0.078125,61,-0.03278688524590164,74,-0.013513513513513514,30,-0.06666666666666667,88,-0.06818181818181818,3,0.0,66,-0.22727272727272727,69,-0.10144927536231885
2014-06-01,52,-0.07692307692307693,20,-0.05,62,-0.03225806451612903,59,-0.03389830508474576,69,-0.07246376811594203,25,-0.2,85,-0.03529411764705882,3,0.0,60,-0.1,65,-0.06153846153846154
2014-07-01,54,0.037037037037037035,20,0.0,64,0.03125,65,0.09230769230769231,65,-0.06153846153846154,23,-0.08695652173913043,91,0.06593406593406594,3,0.0,60,0.0,53,-0.22641509433962265
2014-08-01,51,-0.058823529411764705,18,-0.1111111111111111,65,0.015384615384615385,68,0.04411764705882353,63,-0.031746031746031744,24,0.041666666666666664,91,0.0,3,0.0,53,-0.1320754716981132,59,0.1016949152542373
2014-09-01,54,0.05555555555555555,21,0.14285714285714285,68,0.04411764705882353,60,-0.13333333333333333,69,0.08695652173913043,28,0.14285714285714285,87,-0.04597701149425287,3,0.0,64,0.171875,79,0.25316455696202533
2014-10-01,56,0.03571428571428571,22,0.045454545454545456,65,-0.046153846153846156,59,-0.01694915254237288,72,0.041666666666666664,31,0.0967741935483871,81,-0.07407407407407407,5,0.4,66,0.030303030303030304,78,-0.01282051282051282
2014-11-01,56,0.0,22,0.0,64,-0.015625,60,0.016666666666666666,73,0.0136986301369863,32,0.03125,89,0.0898876404494382,3,-0.6666666666666666,60,-0.1,73,-0.0684931506849315
2014-12-01,52,-0.07692307692307693,25,0.12,63,-0.015873015873015872,65,0.07692307692307693,63,-0.15873015873015872,29,-0.10344827586206896,72,-0.2361111111111111,4,0.25,52,-0.15384615384615385,62,-0.1774193548387097
2015-01-01,54,0.037037037037037035,24,-0.041666666666666664,65,0.03076923076923077,64,-0.015625,76,0.17105263157894737,31,0.06451612903225806,89,0.19101123595505617,4,0.0,65,0.2,72,0.1388888888888889
2015-02-01,62,0.12903225806451613,24,0.0,80,0.1875,69,0.07246376811594203,75,-0.013333333333333334,31,0.0,88,-0.011363636363636364,4,0.0,82,0.2073170731707317,78,0.07692307692307693
2015-03-01,60,-0.03333333333333333,23,-0.043478260869565216,79,-0.012658227848101266,64,-0.078125,77,0.025974025974025976,32,0.03125,96,0.08333333333333333,4,0.0,84,0.023809523809523808,73,-0.0684931506849315
2015-04-01,58,-0.034482758620689655,23,0.0,71,-0.11267605633802817,62,-0.03225806451612903,77,0.0,33,0.030303030303030304,95,-0.010526315789473684,4,0.0,86,0.023255813953488372,73,0.0
2015-05-01,56,-0.03571428571428571,19,-0.21052631578947367,72,0.013888888888888888,66,0.06060606060606061,73,-0.0547945205479452,30,-0.1,89,-0.06741573033707865,3,-0.3333333333333333,65,-0.3230769230769231,68,-0.07352941176470588
2015-06-01,62,0.0967741935483871,19,0.0,69,-0.043478260869565216,66,0.0,72,-0.013888888888888888,26,-0.15384615384615385,92,0.03260869565217391,4,0.25,64,-0.015625,65,-0.046153846153846156
2015-07-01,70,0.11428571428571428,20,0.05,68,-0.014705882352941176,70,0.05714285714285714,68,-0.058823529411764705,24,-0.08333333333333333,93,0.010752688172043012,5,0.2,65,0.015384615384615385,56,-0.16071428571428573
2015-08-01,56,-0.25,24,0.16666666666666666,68,0.0,72,0.027777777777777776,67,-0.014925373134328358,23,-0.043478260869565216,93,0.0,9,0.4444444444444444,54,-0.2037037037037037,61,0.08196721311475409
2015-09-01,57,0.017543859649122806,21,-0.14285714285714285,70,0.02857142857142857,64,-0.125,67,0.0,29,0.20689655172413793,87,-0.06896551724137931,9,0.0,63,0.14285714285714285,78,0.21794871794871795
2015-10-01,59,0.03389830508474576,21,0.0,69,-0.014492753623188406,63,-0.015873015873015872,70,0.04285714285714286,30,0.03333333333333333,77,-0.12987012987012986,5,-0.8,66,0.045454545454545456,78,0.0
2015-11-01,58,-0.017241379310344827,20,-0.05,70,0.014285714285714285,65,0.03076923076923077,72,0.027777777777777776,29,-0.034482758620689655,77,0.0,4,-0.25,60,-0.1,77,-0.012987012987012988
2015-12-01,52,-0.11538461538461539,21,0.047619047619047616,70,0.0,68,0.04411764705882353,72,0.0,29,0.0,74,-0.04054054054054054,4,0.0,55,-0.09090909090909091,64,-0.203125
2016-01-01,59,0.11864406779661017,25,0.16,71,0.014084507042253521,68,0.0,70,-0.02857142857142857,28,-0.03571428571428571,86,0.13953488372093023,9,0.5555555555555556,62,0.11290322580645161,73,0.1232876712328767
2016-02-01,85,0.3058823529411765,24,-0.041666666666666664,71,0.0,71,0.04225352112676056,73,0.0410958904109589,31,0.0967741935483871,94,0.0851063829787234,8,-0.125,78,0.20512820512820512,77,0.05194805194805195
2016-03-01,68,-0.25,22,-0.09090909090909091,75,0.05333333333333334,68,-0.04411764705882353,72,-0.013888888888888888,31,0.0,87,-0.08045977011494253,6,-0.3333333333333333,73,-0.0684931506849315,75,-0.02666666666666667
2016-04-01,72,0.05555555555555555,22,0.0,75,0.0,70,0.02857142857142857,72,0.0,31,0.0,92,0.05434782608695652,5,-0.2,74,0.013513513513513514,76,0.013157894736842105
2016-05-01,62,-0.16129032258064516,20,-0.1,71,-0.056338028169014086,71,0.014084507042253521,69,-0.043478260869565216,28,-0.10714285714285714,98,0.061224489795918366,4,-0.25,64,-0.15625,73,-0.0410958904109589
2016-06-01,63,0.015873015873015872,22,0.09090909090909091,69,-0.028985507246376812,71,0.0,64,-0.078125,24,-0.16666666666666666,90,-0.08888888888888889,7,0.42857142857142855,61,-0.04918032786885246,65,-0.12307692307692308
2016-07-01,59,-0.06779661016949153,21,-0.047619047619047616,68,-0.014705882352941176,76,0.06578947368421052,60,-0.06666666666666667,21,-0.14285714285714285,89,-0.011235955056179775,6,-0.16666666666666666,57,-0.07017543859649122,53,-0.22641509433962265
2016-08-01,59,0.0,19,-0.10526315789473684,67,-0.014925373134328358,76,0.0,64,0.0625,23,0.08695652173913043,92,0.03260869565217391,5,-0.2,58,0.017241379310344827,62,0.14516129032258066
2016-09-01,66,0.10606060606060606,21,0.09523809523809523,75,0.10666666666666667,70,-0.08571428571428572,67,0.04477611940298507,27,0.14814814814814814,85,-0.08235294117647059,5,0.0,62,0.06451612903225806,80,0.225
2016-10-01,68,0.029411764705882353,22,0.045454545454545456,74,-0.013513513513513514,70,0.0,68,0.014705882352941176,30,0.1,81,-0.04938271604938271,4,-0.25,62,0.0,79,-0.012658227848101266
2016-11-01,68,0.0,29,0.2413793103448276,76,0.02631578947368421,65,-0.07692307692307693,71,0.04225352112676056,32,0.0625,81,0.0,8,0.5,60,-0.03333333333333333,77,-0.025974025974025976
2016-12-01,58,-0.1724137931034483,25,-0.16,74,-0.02702702702702703,72,0.09722222222222222,66,-0.07575757575757576,28,-0.14285714285714285,72,-0.125,6,-0.3333333333333333,53,-0.1320754716981132,66,-0.16666666666666666
2017-01-01,68,0.14705882352941177,29,0.13793103448275862,69,-0.07246376811594203,70,-0.02857142857142857,70,0.05714285714285714,28,0.0,93,0.22580645161290322,6,0.0,66,0.19696969696969696,77,0.14285714285714285
2017-02-01,76,0.10526315789473684,29,0.0,74,0.06756756756756757,73,0.0410958904109589,73,0.0410958904109589,31,0.0967741935483871,95,0.021052631578947368,6,0.0,78,0.15384615384615385,80,0.0375
2017-03-01,70,-0.08571428571428572,29,0.0,77,0.03896103896103896,71,-0.028169014084507043,79,0.0759493670886076,33,0.06060606060606061,96,0.010416666666666666,6,0.0,77,-0.012987012987012988,81,0.012345679012345678
2017-04-01,69,-0.014492753623188406,26,-0.11538461538461539,73,-0.0547945205479452,73,0.0273972602739726,75,-0.05333333333333334,31,-0.06451612903225806,96,0.0,5,-0.2,78,0.01282051282051282,75,-0.08
2017-05-01,69,0.0,24,-0.08333333333333333,73,0.0,74,0.013513513513513514,74,-0.013513513513513514,32,0.03125,93,-0.03225806451612903,6,0.16666666666666666,68,-0.14705882352941177,73,-0.0273972602739726
2017-06-01,62,-0.11290322580645161,24,0.0,68,-0.07352941176470588,79,0.06329113924050633,66,-0.12121212121212122,25,-0.28,95,0.021052631578947368,5,-0.2,62,-0.0967741935483871,64,-0.140625
2017-07-01,63,0.015873015873015872,23,-0.043478260869565216,68,0.0,84,0.05952380952380952,62,-0.06451612903225806,24,-0.041666666666666664,92,-0.03260869565217391,5,0.0,62,0.0,56,-0.14285714285714285
2017-08-01,64,0.015625,25,0.08,71,0.04225352112676056,81,-0.037037037037037035,64,0.03125,23,-0.043478260869565216,93,0.010752688172043012,6,0.16666666666666666,58,-0.06896551724137931,62,0.0967741935483871
2017-09-01,67,0.04477611940298507,25,0.0,73,0.0273972602739726,78,-0.038461538461538464,72,0.1111111111111111,27,0.14814814814814814,87,-0.06896551724137931,5,-0.2,62,0.06451612903225806,74,0.16216216216216217
2017-10-01,69,0.028985507246376812,31,0.1935483870967742,77,0.05194805194805195,80,0.025,77,0.06493506493506493,30,0.1,86,-0.011627906976744186,6,0.16666666666666666,68,0.08823529411764706,82,0.0975609756097561
2017-11-01,66,-0.045454545454545456,30,-0.03333333333333333,75,-0.02666666666666667,78,-0.02564102564102564,79,0.02531645569620253,33,0.09090909090909091,86,0.0,6,0.0,66,-0.030303030303030304,79,-0.0379746835443038
2017-12-01,61,-0.08196721311475409,34,0.11764705882352941,74,-0.013513513513513514,78,0.0,71,-0.11267605633802817,29,-0.13793103448275862,73,-0.1780821917808219,6,0.0,57,-0.15789473684210525,68,-0.16176470588235295
2018-01-01,68,0.10294117647058823,40,0.15,69,-0.07246376811594203,73,-0.0684931506849315,84,0.15476190476190477,30,0.03333333333333333,93,0.21505376344086022,9,0.3333333333333333,67,0.14925373134328357,75,0.09333333333333334
2018-02-01,72,0.05555555555555555,40,0.0,70,0.014285714285714285,80,0.0875,78,-0.07692307692307693,35,0.14285714285714285,92,-0.010869565217391304,27,0.6666666666666666,79,0.1518987341772152,75,0.0
2018-03-01,70,-0.02857142857142857,33,-0.21212121212121213,75,0.06666666666666667,76,-0.05263157894736842,76,-0.02631578947368421,32,-0.09375,93,0.010752688172043012,20,-0.35,77,-0.025974025974025976,79,0.05063291139240506
2018-04-01,70,0.0,28,-0.17857142857142858,72,-0.041666666666666664,75,-0.013333333333333334,74,-0.02702702702702703,33,0.030303030303030304,96,0.03125,19,-0.05263157894736842,83,0.07228915662650602,75,-0.05333333333333334
2018-05-01,70,0.0,25,-0.12,74,0.02702702702702703,77,0.025974025974025976,73,-0.0136986301369863,30,-0.1,88,-0.09090909090909091,13,-0.46153846153846156,68,-0.22058823529411764,71,-0.056338028169014086
2018-06-01,63,-0.1111111111111111,25,0.0,71,-0.04225352112676056,83,0.07228915662650602,68,-0.07352941176470588,24,-0.25,87,-0.011494252873563218,14,0.07142857142857142,61,-0.11475409836065574,63,-0.12698412698412698
2018-07-01,59,-0.06779661016949153,24,-0.041666666666666664,69,-0.028985507246376812,85,0.023529411764705882,64,-0.0625,26,0.07692307692307693,94,0.07446808510638298,12,-0.16666666666666666,65,0.06153846153846154,56,-0.125
2018-08-01,59,0.0,28,0.14285714285714285,68,-0.014705882352941176,85,0.0,67,0.04477611940298507,28,0.07142857142857142,94,0.0,12,0.0,58,-0.1206896551724138,62,0.0967741935483871
2018-09-01,67,0.11940298507462686,30,0.06666666666666667,72,0.05555555555555555,79,-0.0759493670886076,70,0.04285714285714286,33,0.15151515151515152,82,-0.14634146341463414,10,-0.2,62,0.06451612903225806,78,0.20512820512820512
2018-10-01,69,0.028985507246376812,33,0.09090909090909091,74,0.02702702702702703,78,-0.01282051282051282,73,0.0410958904109589,34,0.029411764705882353,89,0.07865168539325842,19,0.47368421052631576,67,0.07462686567164178,78,0.0
2018-11-01,67,-0.029850746268656716,27,-0.2222222222222222,74,0.0,80,0.025,72,-0.013888888888888888,32,-0.0625,82,-0.08536585365853659,19,0.0,63,-0.06349206349206349,72,-0.08333333333333333
2018-12-01,61,-0.09836065573770492,29,0.06896551724137931,69,-0.07246376811594203,82,0.024390243902439025,61,-0.18032786885245902,29,-0.10344827586206896,78,-0.05128205128205128,27,0.2962962962962963,56,-0.125,65,-0.1076923076923077
2019-01-01,72,0.1527777777777778,29,0.0,65,-0.06153846153846154,73,-0.1232876712328767,69,0.11594202898550725,30,0.03333333333333333,91,0.14285714285714285,22,-0.22727272727272727,69,0.18840579710144928,75,0.13333333333333333
2019-02-01,73,0.0136986301369863,29,0.0,72,0.09722222222222222,81,0.09876543209876543,72,0.041666666666666664,32,0.0625,97,0.061855670103092786,17,-0.29411764705882354,79,0.12658227848101267,76,0.013157894736842105
2019-03-01,72,-0.013888888888888888,28,-0.03571428571428571,73,0.0136986301369863,85,0.047058823529411764,75,0.04,31,-0.03225806451612903,100,0.03,16,-0.0625,76,-0.039473684210526314,76,0.0
2019-04-01,68,-0.058823529411764705,26,-0.07692307692307693,71,-0.028169014084507043,83,-0.024096385542168676,71,-0.056338028169014086,32,0.03125,92,-0.08695652173913043,14,-0.14285714285714285,77,0.012987012987012988,68,-0.11764705882352941
2019-05-01,65,-0.046153846153846156,26,0.0,75,0.05333333333333334,84,0.011904761904761904,72,0.013888888888888888,30,-0.06666666666666667,91,-0.01098901098901099,19,0.2631578947368421,65,-0.18461538461538463,69,0.014492753623188406
2019-06-01,66,0.015151515151515152,25,-0.04,72,-0.041666666666666664,84,0.0,68,-0.058823529411764705,26,-0.15384615384615385,94,0.031914893617021274,16,-0.1875,65,0.0,62,-0.11290322580645161
2019-07-01,67,0.014925373134328358,25,0.0,69,-0.043478260869565216,91,0.07692307692307693,66,-0.030303030303030304,26,0.0,94,0.0,14,-0.14285714285714285,66,0.015151515151515152,58,-0.06896551724137931
2019-08-01,68,0.014705882352941176,26,0.038461538461538464,71,0.028169014084507043,93,0.021505376344086023,65,-0.015384615384615385,25,-0.04,93,-0.010752688172043012,26,0.46153846153846156,60,-0.1,64,0.09375
2019-09-01,67,-0.014925373134328358,25,-0.04,74,0.04054054054054054,81,-0.14814814814814814,70,0.07142857142857142,29,0.13793103448275862,88,-0.056818181818181816,17,-0.5294117647058824,66,0.09090909090909091,82,0.21951219512195122
2019-10-01,69,0.028985507246376812,24,-0.041666666666666664,75,0.013333333333333334,83,0.024096385542168676,72,0.027777777777777776,30,0.03333333333333333,91,0.03296703296703297,17,0.0,66,0.0,81,-0.012345679012345678
2019-11-01,68,-0.014705882352941176,27,0.1111111111111111,74,-0.013513513513513514,77,-0.07792207792207792,75,0.04,32,0.0625,85,-0.07058823529411765,15,-0.13333333333333333,65,-0.015384615384615385,75,-0.08
2019-12-01,62,-0.0967741935483871,27,0.0,76,0.02631578947368421,84,0.08333333333333333,66,-0.13636363636363635,29,-0.10344827586206896,76,-0.11842105263157894,15,0.0,58,-0.1206896551724138,60,-0.25
2020-01-01,72,0.1388888888888889,34,0.20588235294117646,72,-0.05555555555555555,78,-0.07692307692307693,73,0.0958904109589041,30,0.03333333333333333,88,0.13636363636363635,17,0.11764705882352941,72,0.19444444444444445,72,0.16666666666666666
2020-02-01,75,0.04,41,0.17073170731707318,78,0.07692307692307693,83,0.060240963855421686,76,0.039473684210526314,32,0.0625,95,0.07368421052631578,28,0.39285714285714285,82,0.12195121951219512,76,0.05263157894736842
2020-03-01,74,-0.013513513513513514,88,0.5340909090909091,73,-0.0684931506849315,51,-0.6274509803921569,76,0.0,32,0.0,86,-0.10465116279069768,100,0.72,75,-0.09333333333333334,65,-0.16923076923076924
2020-04-01,78,0.05128205128205128,74,-0.1891891891891892,78,0.0641025641025641,34,-0.5,77,0.012987012987012988,34,0.058823529411764705,82,-0.04878048780487805,60,-0.6666666666666666,82,0.08536585365853659,64,-0.015625
2020-05-01,70,-0.11428571428571428,58,-0.27586206896551724,86,0.09302325581395349,46,0.2608695652173913,79,0.02531645569620253,31,-0.0967741935483871,77,-0.06493506493506493,42,-0.42857142857142855,71,-0.15492957746478872,56,-0.14285714285714285
