period,debt,debt_change,stocks,stocks_change,color,color_change,restaurant,restaurant_change,portfolio,portfolio_change,inflation,inflation_change,housing,housing_change,dow jones,dow jones_change,revenue,revenue_change,economics,economics_change
2019-01-06,82,0.0,18,0.0,59,0.0,73,0.0,66,0.0,23,0.0,91,0.0,19,0.0,70,0.0,74,0.0
2019-01-13,82,0.0,18,0.0,60,0.016666666666666666,74,0.013513513513513514,65,-0.015384615384615385,26,0.11538461538461539,93,0.021505376344086023,17,-0.11764705882352941,74,0.05405405405405406,71,-0.04225352112676056
2019-01-20,80,-0.025,17,-0.058823529411764705,59,-0.01694915254237288,71,-0.04225352112676056,61,-0.06557377049180328,22,-0.18181818181818182,90,-0.03333333333333333,14,-0.21428571428571427,74,0.0,64,-0.109375
2019-01-27,84,0.047619047619047616,19,0.10526315789473684,59,0.0,70,-0.014285714285714285,66,0.07575757575757576,27,0.18518518518518517,91,0.01098901098901099,15,0.06666666666666667,77,0.03896103896103896,73,0.1232876712328767
2019-02-03,83,-0.012048192771084338,19,0.0,62,0.04838709677419355,75,0.06666666666666667,65,-0.015384615384615385,27,0.0,95,0.042105263157894736,14,-0.07142857142857142,82,0.06097560975609756,69,-0.057971014492753624
2019-02-10,87,0.04597701149425287,18,-0.05555555555555555,61,-0.01639344262295082,84,0.10714285714285714,64,-0.015625,27,0.0,92,-0.03260869565217391,14,0.0,84,0.023809523809523808,70,0.014285714285714285
2019-02-17,84,-0.03571428571428571,18,0.0,62,0.016129032258064516,78,-0.07692307692307693,66,0.030303030303030304,27,0.0,92,0.0,12,-0.16666666666666666,86,0.023255813953488372,70,0.0
2019-02-24,82,-0.024390243902439025,18,0.0,63,0.015873015873015872,73,-0.0684931506849315,68,0.029411764705882353,27,0.0,93,0.010752688172043012,12,0.0,84,-0.023809523809523808,72,0.027777777777777776
2019-03-03,84,0.023809523809523808,18,0.0,59,-0.06779661016949153,76,0.039473684210526314,66,-0.030303030303030304,27,0.0,93,0.0,13,0.07692307692307693,81,-0.037037037037037035,71,-0.014084507042253521
2019-03-10,81,-0.037037037037037035,18,0.0,61,0.03278688524590164,78,0.02564102564102564,67,0.014925373134328358,27,0.0,92,-0.010869565217391304,12,-0.08333333333333333,80,-0.0125,67,-0.05970149253731343
2019-03-17,80,-0.0125,18,0.0,61,0.0,79,0.012658227848101266,64,-0.046875,26,-0.038461538461538464,96,0.041666666666666664,12,0.0,73,-0.0958904109589041,67,0.0
2019-03-24,78,-0.02564102564102564,17,-0.058823529411764705,60,-0.016666666666666666,74,-0.06756756756756757,66,0.030303030303030304,30,0.13333333333333333,96,0.0,13,0.07692307692307693,76,0.039473684210526314,72,0.06944444444444445
2019-03-31,79,0.012658227848101266,18,0.05555555555555555,62,0.03225806451612903,72,-0.027777777777777776,67,0.014925373134328358,28,-0.07142857142857142,95,-0.010526315789473684,12,-0.08333333333333333,82,0.07317073170731707,66,-0.09090909090909091
2019-04-07,79,0.0,16,-0.125,62,0.0,73,0.0136986301369863,64,-0.046875,26,-0.07692307692307693,93,-0.021505376344086023,11,-0.09090909090909091,84,0.023809523809523808,64,-0.03125
2019-04-14,74,-0.06756756756756757,16,0.0,62,0.0,78,0.0641025641025641,58,-0.10344827586206896,24,-0.08333333333333333,86,-0.08139534883720931,10,-0.1,82,-0.024390243902439025,57,-0.12280701754385964
2019-04-21,80,0.075,17,0.058823529411764705,64,0.03125,74,-0.05405405405405406,66,0.12121212121212122,27,0.1111111111111111,89,0.033707865168539325,11,0.09090909090909091,75,-0.09333333333333334,62,0.08064516129032258
2019-04-28,81,0.012345679012345678,17,0.0,62,-0.03225806451612903,78,0.05128205128205128,68,0.029411764705882353,28,0.03571428571428571,92,0.03260869565217391,10,-0.1,77,0.025974025974025976,66,0.06060606060606061
2019-05-05,75,-0.08,17,0.0,65,0.046153846153846156,79,0.012658227848101266,64,-0.0625,30,0.06666666666666667,88,-0.045454545454545456,16,0.375,71,-0.08450704225352113,69,0.043478260869565216
2019-05-12,75,0.0,17,0.0,63,-0.031746031746031744,76,-0.039473684210526314,63,-0.015873015873015872,26,-0.15384615384615385,91,0.03296703296703297,18,0.1111111111111111,72,0.013888888888888888,69,0.0
2019-05-19,75,0.0,15,-0.13333333333333333,63,0.0,75,-0.013333333333333334,62,-0.016129032258064516,23,-0.13043478260869565,87,-0.04597701149425287,13,-0.38461538461538464,68,-0.058823529411764705,62,-0.11290322580645161
2019-05-26,69,-0.08695652173913043,15,0.0,59,-0.06779661016949153,82,0.08536585365853659,71,0.1267605633802817,20,-0.15,88,0.011363636363636364,12,-0.08333333333333333,63,-0.07936507936507936,58,-0.06896551724137931
2019-06-02,69,0.0,16,0.0625,59,0.0,77,-0.06493506493506493,63,-0.12698412698412698,21,0.047619047619047616,88,0.0,14,0.14285714285714285,62,-0.016129032258064516,59,0.01694915254237288
2019-06-09,72,0.041666666666666664,16,0.0,60,0.016666666666666666,80,0.0375,65,0.03076923076923077,20,-0.05,91,0.03296703296703297,13,-0.07692307692307693,71,0.1267605633802817,60,0.016666666666666666
2019-06-16,70,-0.02857142857142857,16,0.0,60,0.0,79,-0.012658227848101266,61,-0.06557377049180328,21,0.047619047619047616,89,-0.02247191011235955,13,0.0,66,-0.07575757575757576,54,-0.1111111111111111
2019-06-23,77,0.09090909090909091,15,-0.06666666666666667,58,-0.034482758620689655,76,-0.039473684210526314,62,0.016129032258064516,20,-0.05,87,-0.022988505747126436,12,-0.08333333333333333,67,0.014925373134328358,55,0.01818181818181818
2019-06-30,66,-0.16666666666666666,14,-0.07142857142857142,62,0.06451612903225806,79,0.0379746835443038,56,-0.10714285714285714,20,0.0,84,-0.03571428571428571,11,-0.09090909090909091,61,-0.09836065573770492,52,-0.057692307692307696
2019-07-07,75,0.12,16,0.125,59,-0.05084745762711865,84,0.05952380952380952,61,0.08196721311475409,20,0.0,94,0.10638297872340426,12,0.08333333333333333,78,0.21794871794871795,56,0.07142857142857142
2019-07-14,76,0.013157894736842105,16,0.0,60,0.016666666666666666,85,0.011764705882352941,59,-0.03389830508474576,21,0.047619047619047616,93,-0.010752688172043012,11,-0.09090909090909091,70,-0.11428571428571428,54,-0.037037037037037035
2019-07-21,76,0.0,16,0.0,57,-0.05263157894736842,87,0.022988505747126436,58,-0.017241379310344827,19,-0.10526315789473684,90,-0.03333333333333333,12,0.08333333333333333,68,-0.029411764705882353,53,-0.018867924528301886
2019-07-28,79,0.0379746835443038,17,0.058823529411764705,59,0.03389830508474576,90,0.03333333333333333,59,0.01694915254237288,21,0.09523809523809523,97,0.07216494845360824,13,0.07692307692307693,63,-0.07936507936507936,52,-0.019230769230769232
2019-08-04,73,-0.0821917808219178,18,0.05555555555555555,58,-0.017241379310344827,90,0.0,58,-0.017241379310344827,20,-0.05,91,-0.06593406593406594,21,0.38095238095238093,57,-0.10526315789473684,53,0.018867924528301886
2019-08-11,80,0.0875,18,0.0,60,0.03333333333333333,93,0.03225806451612903,59,0.01694915254237288,21,0.047619047619047616,93,0.021505376344086023,23,0.08695652173913043,62,0.08064516129032258,56,0.05357142857142857
2019-08-18,86,0.06976744186046512,17,-0.058823529411764705,63,0.047619047619047616,85,-0.09411764705882353,65,0.09230769230769231,20,-0.05,94,0.010638297872340425,19,-0.21052631578947367,67,0.07462686567164178,64,0.125
2019-08-25,75,-0.14666666666666667,15,-0.13333333333333333,58,-0.08620689655172414,79,-0.0759493670886076,60,-0.08333333333333333,19,-0.05263157894736842,86,-0.09302325581395349,19,0.0,64,-0.046875,67,0.04477611940298507
2019-09-01,70,-0.07142857142857142,15,0.0,61,0.04918032786885246,80,0.0125,65,0.07692307692307693,21,0.09523809523809523,86,0.0,14,-0.35714285714285715,61,-0.04918032786885246,71,0.056338028169014086
2019-09-08,79,0.11392405063291139,17,0.11764705882352941,63,0.031746031746031744,75,-0.06666666666666667,67,0.029850746268656716,24,0.125,86,0.0,14,0.0,72,0.1527777777777778,79,0.10126582278481013
2019-09-15,81,0.024691358024691357,17,0.0,63,0.0,76,0.013157894736842105,67,0.0,25,0.04,88,0.022727272727272728,14,0.0,73,0.0136986301369863,78,-0.01282051282051282
2019-09-22,77,-0.05194805194805195,16,-0.0625,63,0.0,72,-0.05555555555555555,63,-0.06349206349206349,24,-0.041666666666666664,85,-0.03529411764705882,13,-0.07692307692307693,69,-0.057971014492753624,74,-0.05405405405405406
2019-09-29,78,0.01282051282051282,15,-0.06666666666666667,64,0.015625,80,0.1,64,0.015625,25,0.04,91,0.06593406593406594,15,0.13333333333333333,64,-0.078125,77,0.03896103896103896
2019-10-06,78,0.0,15,0.0,64,0.0,81,0.012345679012345678,64,0.0,24,-0.041666666666666664,86,-0.05813953488372093,14,-0.07142857142857142,72,0.1111111111111111,67,-0.14925373134328357
2019-10-13,79,0.012658227848101266,15,0.0,66,0.030303030303030304,76,-0.06578947368421052,64,0.0,26,0.07692307692307693,86,0.0,13,-0.07692307692307693,72,0.0,85,0.21176470588235294
2019-10-20,79,0.0,16,0.0625,66,0.0,75,-0.013333333333333334,65,0.015384615384615385,23,-0.13043478260869565,84,-0.023809523809523808,12,-0.08333333333333333,70,-0.02857142857142857,67,-0.26865671641791045
2019-10-27,76,-0.039473684210526314,16,0.0,61,-0.08196721311475409,79,0.05063291139240506,61,-0.06557377049180328,23,0.0,80,-0.05,12,0.0,65,-0.07692307692307693,65,-0.03076923076923077
2019-11-03,79,0.0379746835443038,18,0.1111111111111111,64,0.046875,74,-0.06756756756756757,67,0.08955223880597014,28,0.17857142857142858,87,0.08045977011494253,13,0.07692307692307693,72,0.09722222222222222,75,0.13333333333333333
2019-11-10,82,0.036585365853658534,17,-0.058823529411764705,63,-0.015873015873015872,76,0.02631578947368421,65,-0.03076923076923077,28,0.0,84,-0.03571428571428571,11,-0.18181818181818182,69,-0.043478260869565216,73,-0.0273972602739726
2019-11-17,81,-0.012345679012345678,18,0.05555555555555555,66,0.045454545454545456,78,0.02564102564102564,69,0.057971014492753624,28,0.0,83,-0.012048192771084338,11,0.0,73,0.0547945205479452,72,-0.013888888888888888
2019-11-24,66,-0.22727272727272727,15,-0.2,65,-0.015384615384615385,71,-0.09859154929577464,59,-0.1694915254237288,24,-0.16666666666666666,75,-0.10666666666666667,9,-0.2222222222222222,61,-0.19672131147540983,61,-0.18032786885245902
2019-12-01,79,0.16455696202531644,17,0.11764705882352941,66,0.015151515151515152,67,-0.05970149253731343,68,0.1323529411764706,27,0.1111111111111111,83,0.0963855421686747,12,0.25,70,0.12857142857142856,67,0.08955223880597014
2019-12-08,80,0.0125,16,-0.0625,65,-0.015384615384615385,75,0.10666666666666667,67,-0.014925373134328358,27,0.0,79,-0.05063291139240506,12,0.0,65,-0.07692307692307693,69,0.028985507246376812
2019-12-15,71,-0.1267605633802817,17,0.058823529411764705,65,0.0,78,0.038461538461538464,61,-0.09836065573770492,23,-0.17391304347826086,76,-0.039473684210526314,12,0.0,65,0.0,60,-0.15
2019-12-22,55,-0.2909090909090909,16,-0.0625,59,-0.1016949152542373,84,0.07142857142857142,43,-0.4186046511627907,17,-0.35294117647058826,63,-0.20634920634920634,9,-0.3333333333333333,42,-0.5476190476190477,40,-0.5
2019-12-29,64,0.140625,21,0.23809523809523808,62,0.04838709677419355,97,0.13402061855670103,53,0.18867924528301888,19,0.10526315789473684,79,0.20253164556962025,11,0.18181818181818182,53,0.20754716981132076,45,0.1111111111111111
